pl_name,pl_letter,hostname,disc_year,discoverymethod,disc_instrument,pl_orbper,pl_orblper,pl_orbsmax,pl_orbincl,pl_orbtper,pl_orbeccen,pl_eqt,pl_occdep,pl_insol,pl_dens,sy_name,pl_orbtper_systemref,pl_tranmid_systemref,st_metratio,st_rotp,pl_projobliq,pl_trandep,pl_trandur,pl_rvamp,pl_rade,pl_ratror,pl_ratdor,pl_trueobliq,st_log_rhk,st_metn,pl_imppar,pl_cmasse,pl_masse,pl_bmasse,pl_bmassprov,pl_msinie,st_teff,st_met,st_radv,st_vsin,st_lum,st_logg,st_age,st_mass,st_dens,st_rad,sy_snum,sy_pnum,sy_mnum,sy_pm,sy_pmra,sy_pmdec,sy_plx,sy_dist,pl_angsep,cartesian_x,cartesian_y,cartesian_z,st_spectype_cleaned,pl_type,pl_esi
Kepler-48 e,e,Kepler-48,2014,Radial Velocity,HIRES Spectrometer,982.0,,1.898275,,,0.003142,,,,1.5,Kepler-48,,,[Fe/H],,,,,45.83,13.4,,,,,,,,657.0,657.0,Mass,687.3262286,5194.0,0.17,-10.53,0.5,-0.345,4.49,3.14,0.88,1.98,0.89,1,5,0,24.2749681,13.2251,-20.3561,3.23132,306.738,6.19,112.80465354732392,-105.69970251421644,264.9356217470093,Unknown,Gas Giants,
Kepler-126 d,d,Kepler-126,2014,Transit,Kepler CCD Array,100.283134,,0.448,89.5,,0.02,475.0,,14.71,18.398878,Kepler-126,BJD,BJD,[Fe/H],,,0.03287,10.841,7.017,2.5,0.02099,37.66,,,,0.14,,,54.59019,Msini,54.59018723,6239.0,-0.07,-20.74,,0.452,4.25,3.39,1.11,0.71931,1.36,1,3,0,23.0479919,11.4791,-19.986,4.18363,237.401,1.89,56.37120864301144,-81.47044361272255,215.7407899648842,Unknown,Super-Earth,0.3125169963549215
Kepler-26 e,e,Kepler-26,2014,Transit,Kepler CCD Array,46.827915,,0.22,89.87,,0.0,276.0,,1.75,2.51,Kepler-26,BJD,BJD,[Fe/H],,,0.15377,2.084,,2.41,0.03633,,,,,0.77,,,6.39,M-R relationship,,4486.0,-0.05,,1.9,-1.06,4.73,2.95,0.62,50.49124,0.57,1,4,0,16.909332,9.54023,-13.961,2.95373,335.307,0.656,59.428684074855234,-107.50355935972019,311.996795629574,M,Super-Earth,0.6497472861455533
TOI-2406 b,b,TOI-2406,2021,Transit,TESS CCD Array,3.0766891,279.0,0.02267,89.8,,0.17,449.0,,6.69,27.4,TOI-2406,BJD,BJD,[Fe/H],,,1.899641,1.2603993,23.7,2.86,0.1287,,,,,0.09,,15.6,15.6,Mass,,3100.0,-0.26,-29.5,,-2.462,5.04,,0.17,27.7,0.2,1,1,0,405.022834,225.752,-336.273,18.016,55.419,0.409,54.67134803106782,6.470199919909547,-6.359699557546578,M,Super-Earth,0.3756288426310743
Kepler-26 c,c,Kepler-26,2011,Transit,Kepler CCD Array,17.2559,,0.10725,89.09,,0.013,385.0,,4.82,1.61,Kepler-26,BJD,BJD,[Fe/H],,,0.20548,2.0371,,2.72,0.0467,,,,,0.828,,6.2,6.2,Mass,,3914.0,-0.13,,1.9,-1.06,4.68,2.95,0.54,3.87702,0.51,1,4,0,16.909332,9.54023,-13.961,2.95373,335.307,0.32,59.428684074855234,-107.50355935972019,311.996795629574,M,Super-Earth,0.4322910246852345
Kepler-1015 b,b,Kepler-1015,2016,Transit,Kepler CCD Array,16.00494214,,0.1396,89.96,,0.0,1040.0,,172.11,1.51,Kepler-1015,JD,JD,[Fe/H],,,0.03657,6.4648,,3.55,0.01768,19.14032,,,,0.853,,,12.3,M-R relationship,,6769.0,0.06,,,0.559,4.09,1.58,1.49,0.52713,1.81,1,1,0,7.694288,-0.145083,-7.69292,1.32423,739.357,0.189,207.71160945268767,-252.12715750933117,663.2771345326469,Unknown,Super-Earth,0.19653273695155304
Kepler-1016 b,b,Kepler-1016,2016,Transit,Kepler CCD Array,1.95452434,,0.0307,82.98,,0.0,1540.0,,1445.2,2.86,Kepler-1016,JD,JD,[Fe/H],,,0.03928,2.096,,2.18,0.02035,5.2,,,,0.72,,,5.39,M-R relationship,,5821.0,-0.03,,,0.124,4.44,3.89,0.99,0.65812,1.0,1,2,0,2.6102771,2.33053,1.17566,0.684883,1402.82,0.0219,405.9822221957684,-411.76189738301593,1278.0980117050979,Unknown,Super-Earth,0.2466978091584956
Kepler-109 b,b,Kepler-109,2014,Transit,Kepler CCD Array,6.4816307,,0.0701,87.06,,0.11,1276.0,,442.0,1.7,Kepler-109,BJD-TDB,BJD-TDB,[Fe/H],,,0.03015,3.649,1.6,2.49,0.01686,13.655,,,,0.58,,4.9,4.9,Mass,4.554059099,5950.0,-0.02,,1.0,0.347,4.21,6.2,1.09,0.65,1.39,1,2,0,13.363584,-7.73709,10.896,2.07728,474.861,0.148,126.21143409636251,-189.39640781784334,416.76449456502013,Unknown,Super-Earth,0.23408102241886553
Kepler-197 b,b,Kepler-197,2014,Transit,Kepler CCD Array,5.599308,,0.06,79.07,,0.02,1142.0,,431.26,5.39,Kepler-197,BJD,BJD,[M/H],,,0.00848,3.681,,1.02,0.00919,6.26,,,,0.22,,,1.04,M-R relationship,,6004.0,-0.441,1.23,,0.222,4.3,5.37,0.86,0.9219,1.12,2,4,0,53.8032155,8.43943,53.1372,2.99628,330.575,0.182,89.49985423781614,-72.7574121486479,309.79988007396236,Unknown,Super-Earth,0.296130073312433
Kepler-50 c,c,Kepler-50,2012,Transit,Kepler CCD Array,9.37647,,0.087,87.6,,0.0,1125.0,,388.44,9.249213,Kepler-50,BJD,BJD,[Fe/H],,,0.0159,2.06,2.81,2.17,0.01362,11.9048,,,,0.94,,8.2,8.2,Mass,10.20332706,6225.0,0.03,-2.71,,0.536,4.13,3.8,1.24,0.441,1.58,1,2,0,9.4988317,6.52636,-6.90177,3.96961,250.11,0.348,49.909892732976864,-63.85695840845435,236.6142505645078,Unknown,Super-Earth,0.24967371068092015
Kepler-129 d,d,Kepler-129,2021,Radial Velocity,HIRES Spectrometer,2646.0,-170.0,4.0,,2458637.0,0.15,,,,7.25,Kepler-129,JD,JD,[Fe/H],,,,,106.0,12.6,,,,,,,,,2637.97578,Msini,2637.9757781,5770.0,0.29,-20.21,2.13,0.454,4.08,6.43,1.18,0.3659,1.65,1,3,0,27.9746534,-13.2579,-24.6335,2.41732,408.845,9.78,72.44315012330897,-122.23360170644138,383.36036654704253,G,Gas Giants,
