pl_name,pl_letter,hostname,disc_year,discoverymethod,disc_instrument,pl_orbper,pl_orblper,pl_orbsmax,pl_orbincl,pl_orbtper,pl_orbeccen,pl_eqt,pl_occdep,pl_insol,pl_dens,sy_name,pl_orbtper_systemref,pl_tranmid_systemref,st_metratio,st_rotp,pl_projobliq,pl_trandep,pl_trandur,pl_rvamp,pl_rade,pl_ratror,pl_ratdor,pl_trueobliq,st_log_rhk,st_metn,pl_imppar,pl_cmasse,pl_masse,pl_bmasse,pl_bmassprov,pl_msinie,st_teff,st_met,st_radv,st_vsin,st_lum,st_logg,st_age,st_mass,st_dens,st_rad,sy_snum,sy_pnum,sy_mnum,sy_pm,sy_pmra,sy_pmdec,sy_plx,sy_dist,pl_angsep,cartesian_x,cartesian_y,cartesian_z,st_spectype_cleaned,pl_type,pl_esi
TOI-837 b,b,TOI-837,2020,Transit,TESS CCD Array,8.3249113,90.0,0.0888,87.097,,0.0,995.3,,164.0,0.89,TOI-837,BJD-TDB,BJD-TDB,[Fe/H],2.97,,0.4535,1.983,34.7,9.169,0.0798,18.16,,-4.311,,0.92,,120.456966253,120.45697,Mass,381.396,5995.0,0.01,17.45,16.8,0.127,4.45,0.035,1.14,1.63,1.05,1,1,0,21.27059,-18.0165,11.3068,6.98927,142.488,0.623,-56.47302557534178,-29.202782741600625,-127.51793993989106,F,Neptune-Like,0.09965737880565206
PDS 70 b,b,PDS 70,2018,Imaging,SPHERE,43500.0,148.0,20.0,140.0,,0.19,1204.0,,,0.185,PDS 70,,,[Fe/H],,,,,,30.488,,,,,,,,953.49,953.49,Mass,,3972.0,-0.11,3.13,17.27,-0.456,3.68,0.005,0.76,0.5411,1.26,1,2,0,38.0431872,-29.6608,-23.8227,8.81593,113.064,177.0,-71.89732118405747,-71.01993809007601,-50.699227767671644,K,Gas Giants,
TOI-1181 b,b,TOI-1181,2022,Transit,TESS CCD Array,2.103189,90.0,0.0364,87.0,,0.011,1942.1170701,,3297.3,0.49,TOI-1181,BJD,BJD,[Fe/H],8.7,-1.5,0.7124,4.1218716,146.0,17.026,0.07947,3.976,,,,0.3292,,374.719691853,374.71969,Mass,,6054.0,0.38,,10.6,0.642,4.02,2.7,1.47,0.312,1.96,1,1,0,5.6792221,-5.67612,0.187683,3.274,302.819,0.12,59.9401706402342,1.6502214740277328,296.82284190019186,F,Gas Giants,0.05416808707259346
GJ 357 b,b,GJ 357,2019,Transit,TESS CCD Array,3.9306,,0.036,89.228,,,518.0,,12.6,5.6,GJ 357,BJD,BJD,[Fe/H],77.8,,0.0955,1.291,1.52,1.2,0.0309,22.89,,-5.37,,0.307,,1.84,1.84,Mass,,3505.0,-0.12,-34.6,2.0,-1.798,4.94,,0.34,13.6,0.34,1,3,0,999.9759509,138.694,-990.311,105.883,9.44181,3.81,-7.099425510438504,3.345194265074069,-5.2493436567584855,M,Super-Earth,0.3934634745833733
WASP-124 b,b,WASP-124,2016,Transit,iKon-L CCD Camera,3.37265,,0.0449,86.3,,0.017,1400.0,,615.17,0.43,WASP-124,HJD,HJD,[Fe/H],,,1.71636,2.5704,77.0,13.899,0.1241,9.434,,,,0.61,,190.698,190.698,Mass,,6050.0,-0.02,-5.88,3.2,0.149,4.44,2.1,1.07,1.39,1.02,1,1,0,14.5329419,-0.709759,-14.5156,2.20081,448.637,0.1,342.6447182697965,-253.43363966467328,-140.1468697371736,F,Gas Giants,0.06644120391913733
HAT-P-3 b,b,HAT-P-3,2007,Transit,2K CCD Sensor,2.8997,107.7,0.03866,87.24,2464187.008,0.0,1189.0,,176.59,0.855,HAT-P-3,JD,BJD-TDB,[Fe/H],,21.2,1.2,2.087,89.1,10.536,0.1094,10.05,,,,0.574,,206.5895,206.5895,Mass,187.83753,5185.0,0.27,-23.38,1.4,-0.36,4.56,1.6,1.06,2.28,0.87,2,1,0,31.0851689,-19.7461,-24.0079,7.40311,134.554,0.287,-80.81229733840466,3.4850579543499096,107.52676822979522,K,Gas Giants,0.08870431005041868
BD-17 63 b,b,BD-17 63,2008,Radial Velocity,HARPS Spectrograph,655.57,113.8,1.34,80.0,2457250.5,0.5439,,,,4.3,BD-17 63,JD,JD,[Fe/H],,,,,173.3,12.8,,,,,,,,1639.99458012,1639.99458,Mass,1620.9248757,4714.0,-0.03,3.4,1.5,-0.678,4.26,4.3,0.74,2.75844,0.74,1,1,0,421.9214191,-355.181,-227.737,28.9903,34.4603,38.9,32.83073741567504,-0.05884762145192939,-10.471460919587289,K,Gas Giants,
GJ 876 b,b,GJ 876,1998,Radial Velocity,Multiple Instruments,61.1166,50.3,0.208317,59.0,2450602.093,0.0324,,,,1.69,GJ 876,,BJD,[Fe/H],,,,,214.0,13.3,,,,,,,887.691351941145,723.2235,723.2235,Mass,760.9,3293.74,0.213,-1.6,0.16,-1.907,4.87,1.0,0.32,10.86557,0.3,1,4,0,1171.1009489,957.961,-673.638,213.867,4.67517,44.6,4.340312862523032,-1.6515003209106134,-0.539856901733468,M,Gas Giants,
GJ 876 c,c,GJ 876,2000,Radial Velocity,Multiple Instruments,30.0881,48.76,0.12959,59.0,2450602.093,0.25591,,,,0.455,GJ 876,,BJD,[Fe/H],,,,,88.34,14.0,,,,,,,281.741965427502,226.9846,226.9846,Mass,241.5,3293.74,0.213,-1.6,0.16,-1.907,4.87,1.0,0.32,10.86557,0.3,1,4,0,1171.1009489,957.961,-673.638,213.867,4.67517,27.7,4.340312862523032,-1.6515003209106134,-0.539856901733468,M,Gas Giants,
GJ 876 d,d,GJ 876,2005,Radial Velocity,HIRES Spectrometer,1.93778,234.0,0.020807,59.0,2450602.093,0.207,,,,2.37,GJ 876,,BJD,[Fe/H],,,,,6.56,2.51,,,,,,,8.06143677475793,6.83,6.83,Mass,6.91,3293.74,0.213,-1.6,0.16,-1.907,4.87,1.0,0.32,10.86557,0.3,1,4,0,1171.1009489,957.961,-673.638,213.867,4.67517,4.45,4.340312862523032,-1.6515003209106134,-0.539856901733468,M,Super-Earth,
GJ 876 e,e,GJ 876,2010,Radial Velocity,HIRES Spectrometer,124.26,239.0,0.3343,59.0,2450602.093,0.055,,,,1.33,GJ 876,,,[Fe/H],,,,,3.42,3.92,,,,,,,18.0011533190326,14.6,14.6,Mass,15.43,3271.0,0.213,-1.6,0.16,-1.907,4.87,1.0,0.32,10.86557,0.3,1,4,0,1171.1009489,957.961,-673.638,213.867,4.67517,71.5,4.340312862523032,-1.6515003209106134,-0.539856901733468,M,Neptune-Like,
HD 111232 b,b,HD 111232,2003,Radial Velocity,CORALIE Spectrograph,1169.13202,94.142,2.148,93.521,2452361.045,0.214,,,,6.95,HD 111232,BJD,BJD,[Fe/H],,,,,160.429,12.6,,,,-4.98,,,,2531.503261755,2531.50326,Mass,2301.07766668,5512.0,-0.36,104.4,1.2,-0.161,4.45,5.2,0.96,1.71663,0.9,1,2,0,115.6833576,27.2875,112.419,34.5049,28.9571,74.2,-10.40798330610735,-12.777932053037297,-23.809913405087237,G,Gas Giants,
HD 132406 b,b,HD 132406,2007,Radial Velocity,ELODIE Spectrograph,908.0,239.0,1.98,122.0,2457164.0,0.25,,,,4.95,HD 132406,JD,JD,[M/H],,,,,115.0,12.8,,,,,,,,1887.90073758,1887.90074,Mass,1668.59913675,5766.0,0.129,-37.8,,0.26,4.19,7.187,0.97,0.58387,1.34,1,1,0,280.734294,-13.9798,-280.386,14.0987,70.7832,28.0,-30.25520021447615,-4.419311221726497,63.83849896847108,G,Gas Giants,
HD 142 b,b,HD 142,2001,Radial Velocity,UCLES Spectrograph,351.43394,279.518,1.039,59.0,2450530.681,0.158,,,,6.05,HD 142,BJD,BJD,[Fe/H],,,,,32.043,12.7,,,,,,,,2256.5816897,2256.58169,Mass,396.967680343,6245.0,0.09,5.44,10.4,0.474,4.62,3.12,1.21,0.55028,1.47,2,3,0,576.4678738,575.03,-40.6904,38.1605,26.1853,39.7,17.146037118759466,-7.436187363767314,-18.340841439341602,G,Gas Giants,
HD 164604 b,b,HD 164604,2009,Radial Velocity,MIKE Spectrograph,641.472,65.4,1.331,29.0,2452674.0,0.35,,,,13.4,HD 164604,,,[Fe/H],,,,,60.66,12.3,,,,,,,,4544.9462201,4544.94622,Mass,635.0,4684.0,-0.18,7.09,2.0,-0.588,4.62,,0.77,2.96799,0.77,1,1,0,54.2721351,-34.7587,-41.6809,25.3757,39.3633,33.8,0.4672319704258115,-39.20324611769162,-3.5151920305310727,K,Gas Giants,
HD 175167 b,b,HD 175167,2009,Radial Velocity,MIKE Spectrograph,1175.0,329.0,2.4,60.0,2457195.0,0.51,,,,13.9,HD 175167,JD,JD,[Fe/H],,,,,140.335,12.3,,,,,,,,4703.8604236,4703.86042,Mass,2574.4100967,5635.0,0.28,4.81,,0.456,4.09,,1.09,0.25773,1.75,1,1,0,191.6405164,-7.04446,-191.511,14.0386,71.0863,33.8,6.307364469991821,-48.165368681057934,-51.89967688676344,G,Gas Giants,
HD 81040 b,b,HD 81040,2005,Radial Velocity,Multiple Instruments,1004.7,73.05,1.946,108.0,2457515.0,0.527,,,,6.57,HD 81040,JD,JD,[Fe/H],15.98,,,,168.0,12.6,,,,-4.71,,,,2393.24790471,2393.2479,Mass,2183.48115609,5755.0,-0.04,49.25,2.0,-0.077,4.54,0.73,0.96,1.88323,0.91,1,1,0,155.5120051,-151.258,36.1248,29.0122,34.4341,56.5,-25.06680623129052,23.429307253715923,2.9034513572486613,G,Gas Giants,
HR 810 b,b,HR 810,1999,Radial Velocity,CES Spectrograph,302.79999,309.0,0.92,87.0,2451492.8,0.14,,,,5.29,HR 810,JD,,[Fe/H],7.9,,,,57.1,12.7,,,,-4.65,,,,1970.5361234,1970.53612,Mass,721.4741,6167.0,0.16,17.01,6.5,0.253,4.46,2.72,1.34,1.0501,1.13,1,1,0,399.5181853,333.826,219.488,57.7143,17.3181,53.1,8.30564549256849,1.2020353219956854,-15.148859747401833,G,Gas Giants,
HD 142 c,c,HD 142,2012,Radial Velocity,UCLES Spectrograph,10159.64279,279.051,9.811,90.374,2447170.556,0.277,,,,9.99,HD 142,BJD,BJD,[Fe/H],,,,,93.181,12.4,,,,,,,,3464.647464707,3464.64746,Mass,1684.4,6245.0,0.09,5.44,10.4,0.474,4.62,3.12,1.21,0.55028,1.47,2,3,0,576.4678738,575.03,-40.6904,38.1605,26.1853,375.0,17.146037118759466,-7.436187363767314,-18.340841439341602,F,Gas Giants,
TOI-2379 b,b,TOI-2379,2024,Transit,TESS CCD Array,5.4693827,73.1,0.05263,88.85,,0.342,624.0,,25.3,6.21,TOI-2379,BJD-TDB,BJD-TDB,[Fe/H],,,3.241186,1.867,1002.5,11.725,0.1729,18.17,,,,0.242,,1830.69162432,1830.69162,Mass,,3707.0,0.501,,,-1.129,4.65,10.4,0.65,3.76,0.62,1,1,0,16.6197826,16.5284,1.74045,4.705,211.247,0.249,126.92927122065875,-71.03489612117514,-153.1936638684718,Unknown,Gas Giants,0.11567750930790666
TOI-2384 b,b,TOI-2384,2024,Transit,TESS CCD Array,2.13570304,,0.02793,88.37,,0.0,889.7,,104.3,2.26,TOI-2384,BJD-TDB,BJD-TDB,[Fe/H],,,2.882749,1.891,419.0,11.489,0.1723,9.82,,,,0.28,,624.850648162,624.85065,Mass,,3943.0,0.332,,,-1.119,4.66,9.4,0.64,3.91,0.61,1,1,0,53.3426709,8.58378,-52.6475,5.1936,191.51,0.146,65.34620462073234,-25.23507801798891,-178.23900942019228,Unknown,Gas Giants,0.0868359100641466
HD 111232 c,c,HD 111232,2022,Radial Velocity,Multiple Instruments,26472.44623,34.27,17.25,87.902,2432870.175,0.558,,,,17.4,HD 111232,BJD,BJD,[Fe/H],,,,,150.605,12.2,,,,-4.98,,,,5740.934515641,5740.93452,Mass,6293.0024586,5494.0,-0.36,104.4,4.0,-0.161,4.5,13.0,0.96,1.71663,0.9,1,2,0,115.6833576,27.2875,112.419,34.5049,28.9571,596.0,-10.40798330610735,-12.777932053037297,-23.809913405087237,G,Gas Giants,
HD 142 A d,d,HD 142,2022,Radial Velocity,Multiple Instruments,108.45299,89.593,0.474,,2450799.614,0.13,,,,0.351,HD 142,BJD,BJD,[M/H],,,,,9.826,10.9,,,,,,,,,82.63539,Msini,82.63538582,6273.0,0.106,5.44,10.4,0.474,4.26,3.12,1.21,0.55028,1.41,2,3,0,576.4678738,575.03,-40.6904,38.1605,26.1853,18.1,17.146037118759466,-7.436187363767314,-18.340841439341602,F,Gas Giants,
Kepler-1491 c,c,Kepler-1491,2023,Transit,Kepler CCD Array,61.569765,,0.3045,89.35,,0.0,530.0,,18.66,2.47,Kepler-1491,BJD,BJD,[Fe/H],,,0.02983,9.75,,2.44,0.01607,43.0,,,,0.486,,,6.53,M-R relationship,,5626.0,0.14,,,0.355,4.15,4.57,0.99,0.3979,1.39,1,2,0,2.9974502,1.0359,-2.81276,0.455359,2065.59,0.147,577.7838943915848,-623.3247818502847,1882.6295535269253,Unknown,Super-Earth,0.299243292873695
Kepler-1979 b,b,Kepler-1979,2023,Transit,Kepler CCD Array,18.5084526,,0.1383,77.63,,0.0,683.0,,51.32,17.3,Kepler-1979,BJD,BJD,[Fe/H],,,0.07589,6.596,,29.33,0.28636,5.88,,,,1.258,,,79500.0,M-R relationship,,5942.0,-0.06,,,-0.094,4.51,0.4,1.03,0.0112,0.94,1,1,0,3.3462749,3.072,1.32679,0.901221,1076.27,0.128,286.63446351878133,-463.45314447052016,928.1212098124294,Unknown,Gas Giants,0.05198252052122032
HD 158259 e,e,HD 158259,2020,Radial Velocity,SOPHIE Spectrograph,7.951,,,,,,,,,2.61,HD 158259,,,,20.0,,,,1.857,2.34,,,,,,,,,6.08,Msini,6.08,5801.89,,13.3,2.9,0.212,4.25,,1.08,0.72532,1.21,1,5,0,103.6993176,-91.0469,-49.6388,36.9399,27.0498,,-2.460729779838321,-6.267746789738644,26.19831748739483,G,Super-Earth,
WASP-3 b,b,WASP-3,2007,Transit,iKon-L CCD Camera,1.84683,79.0,0.0315,85.06,,0.0,2020.0,,1845.3,0.89,WASP-3,,BJD-TDB,[Fe/H],,15.0,1.1,2.7883,290.5,15.917,0.105,5.18,,,,0.511,,772.3269,772.3269,Mass,,6400.0,0.0,-5.49,13.4,0.434,4.25,2.1,1.62,0.77,1.44,3,1,0,22.5756189,-6.06885,-21.7446,4.29737,231.161,0.136,28.179668446046,-116.75840660756978,197.50642696816809,Unknown,Gas Giants,0.05783146047397647
HAT-P-11 c,c,HAT-P-11,2018,Radial Velocity,HIRES Spectrometer,3407.0,143.7,4.13,135.7,2456862.0,0.601,,,,1.71,HAT-P-11,JD,JD,[Fe/H],29.2,,,,30.9,13.3,,,,,,,,731.009,731.009,Mass,507.0,4780.0,0.31,-63.24,1.5,-0.564,4.66,6.5,0.81,3.70008,0.68,1,2,0,264.8686021,125.984,232.988,26.4508,37.7647,109.0,11.731021669276007,-9.315724783357492,34.666597301230986,K,Gas Giants,
TOI-5398 c,c,TOI-5398,2023,Transit,TESS CCD Array,4.77271,172.0,0.057,88.4,,0.14,1242.0,,370.6,1.5,TOI-5398,BJD,BJD,[Fe/H],7.34,,0.092,3.127,4.1,3.52,0.0308,11.8,,-4.43,,0.34,,11.8,11.8,Mass,,6000.0,0.09,-9.95,7.5,0.117,4.44,0.65,1.15,1.34324,1.05,1,2,0,6.8726106,1.3298,6.74273,7.61335,130.855,0.436,-100.18749583874232,60.92496389153411,58.08309114860585,G,Super-Earth,0.19374457418239976
CFBDSIR J145829+101343 b,b,CFBDSIR J145829+101343,2011,Imaging,NIRC2 Camera,10037.5,,2.6,,,,370.0,,,9.62,CFBDSIR J145829+101343,,,,,,,,,12.4,,,,,,,,3337.1,3337.1,Mass,,580.5,,,,,4.72,,0.02,,,1,1,0,,,,43.3,23.1,113.0,-16.180591709340238,-13.018524604983519,10.11516035686379,Unknown,Gas Giants,
CoRoT-14 b,b,CoRoT-14,2010,Transit,CoRoT CCD Array,1.51214,,0.027,79.6,2454787.6702,0.0,1952.0,,,7.3,CoRoT-14,HJD,HJD,[Fe/H],,,,1.662,1230.0,12.22,0.0925,4.78,,,,0.86,,2415.4,2415.4,Mass,,6035.0,0.05,,9.0,0.119,4.35,4.2,1.13,0.91,1.21,1,1,0,3.6035031,-0.118627,-3.60155,0.547358,1744.6,0.0155,-403.1352138867896,1482.6968214920335,-826.2695049811974,F,Gas Giants,
GJ 180 c,c,GJ 180,2014,Radial Velocity,Multiple Instruments,24.329,230.0,0.129,,,0.09,,,,2.51,GJ 180,,,,,,,,2.31,2.41,,,,,,,,,6.4,Msini,6.4,3371.0,,-15.07,,-1.886,4.81,,0.43,8.12507,0.41,1,3,0,763.0623234,408.571,-644.464,83.7182,11.9407,10.8,3.2370172825826984,8.550563887317528,-7.6804877977353945,M,Super-Earth,
HD 136118 b,b,HD 136118,2022,Radial Velocity,Multiple Instruments,1187.59765,313.267,2.327,116.779,2450608.504,0.344,,,,12.3,HD 136118,BJD,BJD,[Fe/H],,,,,212.691,12.3,,,,,,,,4164.187788514,4164.18779,Mass,3775.80147516,6097.0,-0.05,,,0.569,4.05,,1.18,0.35239,1.68,1,1,0,125.780865,-123.748,22.5224,19.4132,51.4359,45.2,-33.236886730336494,-36.56015106997042,14.293933084554503,F,Gas Giants,
HD 153557 b,b,HD 153557,2022,Radial Velocity,Multiple Instruments,7.29903,141.983,0.068,,2450546.249,0.065,,,,1.03,HIP 83020 A,BJD,BJD,,,,,,7.826,4.77,,,,,,,,,20.34102,Msini,20.341018048,4837.0,,-7.2,2.0,-0.562,4.59,,0.79,2.69168,0.75,1,3,0,308.7663785,-145.79,272.18,55.7086,17.9412,3.79,-3.2536798838835486,-5.490931786511922,16.767524944638804,K,Neptune-Like,
HD 155918 b,b,HD 155918,2022,Radial Velocity,Multiple Instruments,1.87567,92.251,0.03,,2452387.913,0.194,,,,2.2,HIP 84988,BJD,BJD,[M/H],,,,,3.935,2.67,,,,,,,,,7.62788,Msini,7.627881768,5771.84,-0.662,59.7,0.0,0.016,4.43,12.3,1.03,1.37216,1.02,1,2,0,990.6211832,-957.86,-252.655,36.2541,27.561,1.09,-1.147307363649608,-16.91523522658491,-21.729409196814725,G,Super-Earth,
HD 156098 b,b,HD 156098,2022,Radial Velocity,Multiple Instruments,21.85849,305.399,0.167,,2453478.163,0.109,,,,1.25,HD 156098,BJD,BJD,[M/H],,,,,3.095,4.12,,,,,,,,,15.89142,Msini,15.89142035,6419.19,0.12,,,1.066,3.67,,1.29,0.08677,2.76,1,2,0,112.595783,-98.2697,-54.9625,20.6993,48.249,3.46,-7.569328931371767,-46.97237845154002,-8.016665337532682,Unknown,Neptune-Like,
GJ 3138 d,d,GJ 3138,2017,Radial Velocity,HARPS Spectrograph,257.8,,0.698,,,0.32,,,0.1,1.71,GJ 3138,,,[Fe/H],42.5,,,,1.47,3.23,,,,,,,,,10.5,Msini,10.5,3717.0,-0.3,13.6,,-1.347,4.63,,0.68,3.47127,0.5,1,3,0,522.3937499,516.324,79.4025,35.0943,28.4712,24.5,23.094251317154885,10.207635633793364,-13.155567654335629,M,Super-Earth,0.3117604454774632
HD 134060 c,c,HD 134060,2019,Radial Velocity,HARPS Spectrograph,1291.5646,-132.73,2.3928,,2455232.816,0.11,,,,0.78,HD 134060,BJD,BJD,[Fe/H],23.0,,,,1.65,5.91,,,,-4.95,,,,,29.29,Msini,29.29,5966.0,0.14,37.4,2.6,0.158,4.43,5.6,1.09,1.01593,1.16,1,2,0,185.9811074,-185.588,-12.0858,41.616,24.0125,99.6,-7.732719964739475,-16.180678277061453,-15.968432881505663,G,Neptune-Like,
GJ 433 b,b,GJ 433,2011,Radial Velocity,HARPS Spectrograph,7.3705,154.0,0.062,,2454287.0,0.04,,,,2.63,GJ 433,,,[Fe/H],,,,,2.86,2.33,,,,,,,,,6.043,Msini,6.043,3461.0,-0.17,17.53,,-1.699,4.81,,0.48,6.36665,0.5,1,3,0,853.6175037,-70.7678,-850.679,110.291,9.06456,6.84,-7.597455371622688,-1.1900218455738243,-4.798829844541127,M,Super-Earth,
GJ 433 d,d,GJ 433,2020,Radial Velocity,Multiple Instruments,36.059,159.0,0.178,,,0.07,,,,2.93,GJ 433,,,[Fe/H],,,,,1.46,2.14,,,,,,,,,5.223,Msini,5.223,3461.0,-0.17,17.53,,-1.475,4.76,,0.48,6.36665,0.47,1,3,0,853.6175037,-70.7678,-850.679,110.291,9.06456,19.6,-7.597455371622688,-1.1900218455738243,-4.798829844541127,M,Super-Earth,
CoRoT-30 b,b,CoRoT-30,2020,Transit,CoRoT CCD Array,9.06005,178.1,0.0844,90.0,,0.007,,,,3.45,CoRoT-30,BJD,BJD,[Fe/H],,,,,283.0,11.31,0.114,21.0,,,,0.0,,921.707,921.707,Mass,,5650.0,0.02,-34.93,4.3,-0.197,4.4,3.0,0.98,1.54162,0.91,1,1,0,1.285261,-1.26248,-0.240915,0.942447,1032.23,0.0818,135.56945260326384,-883.1851905357215,516.8206803517371,G,Gas Giants,
OGLE-2018-BLG-0532L b,b,OGLE-2018-BLG-0532L,2020,Microlensing,OGLE CCD Array,,,1.064,,,,,,,2.57,OGLE-2018-BLG-0532L,,,,,,,,,2.37,,,,,,,,6.228,6.228,Mass,,,,,,,,,0.2,,,1,1,0,,,,,773.0,1.38,-0.1956453288319901,-769.3652286811757,-74.87393818457447,Unknown,Super-Earth,
OGLE-2018-BLG-0383L b,b,OGLE-2018-BLG-0383L,2022,Microlensing,OGLE CCD Array,,,1.8,,,,,,,2.51,OGLE-2018-BLG-0383L,,,,,,,,,2.41,,,,,,,,6.4,6.4,Mass,,,,,,,,,0.1,,,1,1,0,,,,,7700.0,0.234,-155.44047852436657,-7665.438245654738,-711.9654202907165,Unknown,Super-Earth,
KMT-2021-BLG-0322L b,b,KMT-2021-BLG-0322L,2021,Microlensing,18k Mosaic CCD camera,,,,,,,,,,5.46,KMT-2021-BLG-0322L,,,,,,,,,12.7,,,,,,,,2034.1018048,2034.1018,Mass,,,,,,,,,0.62,,,2,1,0,,,,,6600.0,,91.30323931822878,-6561.162774377484,-709.0886874102221,Unknown,Gas Giants,
TOI-1680 b,b,TOI-1680,2023,Transit,TESS CCD Array,4.8026345,,0.03144,89.58,,,404.0,,4.41,4.8,TOI-1680,BJD-TDB,BJD-TDB,[Fe/H],,,0.407,1.186,,1.466,0.0638,32.04,,,,0.23,,,2.75,M-R relationship,,3225.0,0.04,-34.3,,-2.363,5.05,,0.18,27.2,0.21,1,1,0,142.9990315,56.5741,-131.332,26.8377,37.2209,0.845,5.753997053489442,0.6595224035794892,36.76753928287303,M,Super-Earth,0.5347013378303824
KOI-351 c,c,KOI-351,2013,Transit,Kepler CCD Array,8.719375,,0.089,89.68,,0.0,987.0,,236.31,5.9,KOI-351,HJD,HJD,[M/H],,,0.01604,4.41,,1.19,0.0091,16.0,,,,0.09,,,1.81,M-R relationship,,6080.0,-0.12,,4.6,0.269,4.4,0.53,1.2,1.20992,1.2,1,8,0,5.432016,-4.37917,-3.21398,1.15007,848.254,0.105,137.84433485041558,-235.61477430783003,803.131039117227,Unknown,Super-Earth,0.2961738897388214
Kepler-30 d,d,Kepler-30,2012,Transit,Kepler CCD Array,143.34394,-163.0,0.5,89.841,,0.022,308.0,,1.96,0.19,Kepler-30,BJD,BJD,[Fe/H],,4.0,0.83,7.728,,8.8,0.0913,109.1,,,,0.38,,23.1,23.1,Mass,,5498.0,0.18,,1.94,-0.237,4.77,2.0,0.99,2.0,0.95,1,3,0,4.8118874,0.695083,-4.76142,1.06573,914.221,0.547,187.39434090494254,-400.68634979554275,800.083649955007,Unknown,Neptune-Like,0.3922696671924931
HD 10180 d,d,HD 10180,2010,Radial Velocity,HARPS Spectrograph,16.357,325.0,0.12859,90.0,2454022.119,0.131,,,,1.57,HD 10180,BJD,BJD,[Fe/H],,,,,2.935,3.45,,,,-5.04,,,11.75,,11.75,Msin(i)/sin(i),12.013974,5911.0,0.08,35.53,3.0,0.173,4.39,4.3,1.06,0.92213,1.11,1,6,0,16.5883695,-14.3774,8.27432,25.6379,38.9607,3.3,17.455298945895496,-6.200664845605257,-34.27536197725554,G,Super-Earth,
HD 102272 b,b,HD 102272,2008,Radial Velocity,High Resolution Spectrograph,127.58,118.0,0.51,,2452146.0,0.05,,,,4.02,HD 102272,,,[Fe/H],,,,,155.5,12.9,,,,,,,,,1570.0802,Msini,1570.0802,4790.0,-0.41,-11.4,3.0,1.662,2.58,,1.45,,10.3,1,1,0,10.6159064,-7.37148,7.63929,2.85708,347.097,1.47,-336.0110122434353,52.017433120206626,69.764702477161,K,Gas Giants,
HD 42618 b,b,HD 42618,2016,Radial Velocity,Multiple Instruments,149.61,101.0,0.554,,,0.19,337.0,,3.16,1.34,HD 42618,,BJD,[Fe/H],,,,,1.89,3.89,,119.1,,-4.94,,,,,14.4,Msini,14.4,5727.0,-0.09,-53.7,2.0,-0.009,4.44,3.72,1.01,1.57325,1.0,1,1,0,322.2991873,197.305,-254.848,41.0627,24.3358,22.8,-1.2660814981340496,23.284130131617832,-6.9625773456363875,G,Neptune-Like,0.4437248842083297
OGLE-2018-BLG-0962L b,b,OGLE-2018-BLG-0962L,2021,Microlensing,OGLE CCD Array,,,3.59,,,,,,,0.93,OGLE-2018-BLG-0962L,,,,,,,,,13.6,,,,,,,,425.89006538,425.89007,Mass,,,,,,,,,0.54,,,1,1,0,,,,,6500.0,0.552,-174.97475400649114,-6419.708112471388,-1003.3601477681959,Unknown,Gas Giants,
HD 110014 b,b,HD 110014,2009,Radial Velocity,FEROS Spectrograph,835.477,290.6,2.14,,2451796.9065,0.462,,,,10.2,HD 110014,,,[Fe/H],,,,,158.2,12.4,,,,,,,,,3524.59,Msini,3524.59,4445.0,0.19,-18.62,2.0,2.304,2.1,0.95,2.17,,20.9,1,1,0,80.7669238,-77.1291,-23.9666,9.90259,100.758,21.2,-98.31919025374982,-21.174408911472128,-6.095555683997745,K,Gas Giants,
HD 131496 b,b,HD 131496,2011,Radial Velocity,HIRES Spectrometer,896.0,58.0,2.01,,2456114.0,0.181,,,,1.31,HD 131496,JD,JD,[Fe/H],,,,,31.6,13.4,,,,,,,,,572.094,Msini,572.094,4846.0,0.25,1.36,0.48,0.991,3.18,2.7,1.34,,4.44,1,1,0,55.4411361,43.7017,-34.1157,7.55647,131.849,15.2,-91.06794975170362,-62.45220419900346,72.04519081595355,K,Gas Giants,
TOI-1855 b,b,TOI-1855,2024,Transit,TESS CCD Array,1.36414864,-100.0,0.02398,78.1,,0.033,1701.0,,852.16,0.31,TOI-1855,BJD-TDB,BJD-TDB,[Fe/H],,,0.707,1.194,204.0,18.495,0.162,4.95,,,,1.024,,360.099585131,360.09959,Mass,,5359.0,0.399,,5.74,-0.095,4.4,8.2,0.99,1.23,1.04,1,1,0,108.9972108,-73.2242,-80.7379,5.62645,176.833,0.136,-152.24982809002455,-44.808550614066135,77.98777806441626,Unknown,Gas Giants,0.0511425240762855
HD 37605 b,b,HD 37605,2004,Radial Velocity,High Resolution Spectrograph,55.01292,220.78,0.277,,2463048.16,0.6745,,,,2.04,HD 37605,JD,JD,[Fe/H],,,,,203.47,13.2,,,,,,,,,854.9627,Msini,854.9627,5329.0,0.27,-21.81,1.0,-0.22,4.51,5.65,0.94,1.36793,0.91,1,2,0,252.7602573,52.4663,-247.255,21.345,46.7864,5.92,4.048907708476164,44.48845732147344,-13.905061541887493,K,Gas Giants,
